"t","rejects","false.rejects","FDP"
1.11954848425909e-05,374,56.1562964679372,0.15015052531534
7.50455791507686e-06,356,48.3047320958871,0.135687449707548
4.11858870753571e-06,332,38.3129113495646,0.115400335390255
2.7607725720372e-06,320,32.6956997458124,0.102174061705664
5.5739036926946e-07,275,16.758554567786,0.0609401984283127
3.05902320501826e-07,253,12.8559354307172,0.0508139740344552
